Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	195.413982498	216.613450417	4541.730	5533.466	21.1995	991.736	-61.03	Leaving area; Audiomoth Echo1; 13:29 MDT; July 24, 2024; 447472 4479022
2	Spectrogram 1	1	5771.024492289	5771.492027900	0.000	12773.135	0.4675	12773.135	-67.46	[P?]
3	Spectrogram 1	1	6677.372502511	6677.736815974	0.000	11583.053	0.3643	11583.053	-62.31	[P?]
4	Spectrogram 1	1	6684.790557881	6685.206482418	0.000	12128.507	0.4159	12128.507	-63.26	[P?]
5	Spectrogram 1	1	11220.709652112	11221.143792322	0.000	11979.747	0.4341	11979.747	-68.14	[P]
6	Spectrogram 1	1	11225.982688058	11226.401648540	0.000	12376.441	0.4190	12376.441	-68.76	[P]
7	Spectrogram 1	1	11243.776242428	11244.198238856	0.000	11880.573	0.4220	11880.573	-68.37	[P]
8	Spectrogram 1	1	12299.954510381	12300.364363027	0.000	23811.024	0.4099	23811.024	-60.64	[P]
9	Spectrogram 1	1	12294.137475484	12294.577687585	0.000	24000.000	0.4402	24000.000	-56.70	[P]
10	Spectrogram 1	1	12286.856672947	12287.301087703	29.334	24000.000	0.4444	23970.666	-60.01	[P]
11	Spectrogram 1	1	18660.607098138	18661.029094566	0.000	9917.355	0.4220	9917.355	-66.91	[P]
12	Spectrogram 1	1	18664.679254870	18665.046604278	0.000	9867.769	0.3673	9867.769	-66.20	[P]
13	Spectrogram 1	1	18671.421385702	18671.822130512	0.000	10115.702	0.4007	10115.702	-66.64	[P]
14	Spectrogram 1	1	21836.831415173	21837.268591329	0.000	12793.388	0.4372	12793.388	-68.08	[P]
15	Spectrogram 1	1	22204.055294265	22204.449967183	0.000	12099.174	0.3947	12099.174	-68.05	[P]
16	Spectrogram 1	1	22216.137180372	22216.537925181	0.000	13090.909	0.4007	13090.909	-67.51	[P]
17	Spectrogram 1	1	23125.146949708	23125.530971729	0.000	12283.465	0.3840	12283.465	-67.69	[P?]
18	Spectrogram 1	1	23141.479188209	23141.873861128	0.000	12446.281	0.3947	12446.281	-67.44	[P?]
19	Spectrogram 1	1	23157.421727785	23157.822472594	0.000	8181.818	0.4007	8181.818	-65.96	[P?]
20	Spectrogram 1	1	23320.132229403	23320.569405559	0.000	11504.132	0.4372	11504.132	-66.45	[P?]
21	Spectrogram 1	1	25711.784881887	25712.182590751	0.000	11801.653	0.3977	11801.653	-61.69	[P]
