Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.000000000	15.756437840	3144.969	4310.960	15.7564	1165.991	-47.50	Audiomoth Echo1; 10:50 MDT; August 22, 2024; Near Crown Point
2	Spectrogram 1	1	143.323550761	143.598333186	0.000	6254.280	0.2748	6254.280	-42.34	[P?]
3	Spectrogram 1	1	2274.311803787	2274.633435571	0.000	24000.000	0.3216	24000.000	-56.77	[P]
6	Spectrogram 1	1	2404.065071738	2404.417136720	0.000	24000.000	0.3521	24000.000	-50.14	[P]
7	Spectrogram 1	1	2407.214102772	2407.533966688	0.000	8727.273	0.3199	8727.273	-56.76	[P]
8	Spectrogram 1	1	2412.545480027	2412.821500169	0.000	10197.628	0.2760	10197.628	-65.73	[P]
9	Spectrogram 1	1	2417.272044585	2417.623376647	0.000	7256.917	0.3513	7256.917	-61.88	[P]
10	Spectrogram 1	1	2424.119988542	2424.389797684	0.000	5549.407	0.2698	5549.407	-56.71	[P]
11	Spectrogram 1	1	2425.804158891	2425.960870743	0.000	4553.360	0.1567	4553.360	-59.68	[P?]
12	Spectrogram 1	1	3236.953734853	3237.310093310	0.000	24000.000	0.3564	24000.000	-59.26	[P]
13	Spectrogram 1	1	3244.130582318	3244.400497687	0.000	24000.000	0.2699	24000.000	-56.23	[P]
14	Spectrogram 1	1	3245.844861342	3263.405760301	0.000	15455.782	17.5609	15455.782	-62.59	[P, long call]
15	Spectrogram 1	1	3265.344644067	3265.770780426	189.723	23667.984	0.4261	23478.261	-56.47	[P]
16	Spectrogram 1	1	3267.617918674	3268.034951532	0.000	24000.000	0.4170	24000.000	-55.07	[P]
17	Spectrogram 1	1	3270.958326396	3271.387715294	47.431	24000.000	0.4294	23952.569	-56.95	[P]
18	Spectrogram 1	1	4469.919515771	4470.166390605	0.000	4411.067	0.2469	4411.067	-68.66	[P]
19	Spectrogram 1	1	4475.574570363	4475.836472361	0.000	4980.237	0.2619	4980.237	-70.19	[P]
20	Spectrogram 1	1	4478.204760245	4478.458075293	0.000	9687.075	0.2533	9687.075	-73.42	[P]
21	Spectrogram 1	1	4481.372667835	4481.578754654	0.000	4458.498	0.2061	4458.498	-72.10	[P]
22	Spectrogram 1	1	4595.735529972	4595.943763529	0.000	10150.198	0.2082	10150.198	-47.15	[P]
23	Spectrogram 1	1	4887.044157907	4887.409103315	0.000	24000.000	0.3649	24000.000	-54.97	[P]
