Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	8541.303297800	8541.716277840	202.452	23873.684	0.4130	23671.232	-63.97	[P]
2	Spectrogram 1	1	8544.696230606	8545.095974107	147.657	23835.616	0.3997	23687.959	-62.68	[P]
3	Spectrogram 1	1	8548.496162844	8548.858844033	328.767	24000.000	0.3627	23671.233	-58.38	[P]
4	Spectrogram 1	1	8553.454403619	8553.825026732	219.178	24000.000	0.3706	23780.822	-61.25	[P]
5	Spectrogram 1	1	8560.612345542	8561.001499811	328.767	23945.205	0.3892	23616.438	-59.63	[P]
6	Spectrogram 1	1	8564.588553652	8564.961824073	219.178	24000.000	0.3733	23780.822	-60.73	[P]
7	Spectrogram 1	1	8566.442303191	8566.876461695	1150.685	22027.397	0.4342	20876.712	-69.14	[P]
8	Spectrogram 1	1	8570.730270526	8571.164429030	2027.397	22794.521	0.4342	20767.124	-66.69	[P]
9	Spectrogram 1	1	8576.138494360	8576.562063632	1863.014	24000.000	0.4236	22136.986	-64.40	[P]
10	Spectrogram 1	1	8581.650022497	8582.060355229	2465.753	20876.712	0.4103	18410.959	-66.84	[P]
11	Spectrogram 1	1	9675.354053583	9675.822627090	2410.959	12547.945	0.4686	10136.986	-72.01	[P]
12	Spectrogram 1	1	9678.045647345	9690.686542812	2739.726	11397.260	12.6409	8657.534	-74.73	[P]
13	Spectrogram 1	1	9692.311989894	9692.719675319	2575.342	9753.425	0.4077	7178.083	-71.02	[P]
14	Spectrogram 1	1	9695.158615012	9695.563653128	2465.753	10356.164	0.4050	7890.411	-70.63	[P]
15	Spectrogram 1	1	9697.654254236	9698.040761197	2575.342	11123.288	0.3865	8547.946	-70.09	[P]
16	Spectrogram 1	1	9700.364379153	9700.750886114	2520.548	11561.644	0.3865	9041.096	-71.23	[P]
17	Spectrogram 1	1	9703.900024315	9704.270647428	2575.342	12712.329	0.3706	10136.987	-71.66	[P]
18	Spectrogram 1	1	9708.767372874	9709.124759448	2630.137	11835.616	0.3574	9205.479	-71.91	[P]
19	Spectrogram 1	1	11250.969947153	11251.374985269	1534.247	23068.493	0.4050	21534.246	-62.39	[P]
20	Spectrogram 1	1	12873.062212799	12873.430188604	3068.493	10849.315	0.3680	7780.822	-74.87	[P]
21	Spectrogram 1	1	12878.964991533	12879.348851186	2739.726	10410.959	0.3839	7671.233	-74.40	[P]
22	Spectrogram 1	1	12885.385483936	12885.742870510	2958.904	9698.630	0.3574	6739.726	-76.29	[P]
23	Spectrogram 1	1	12950.288274938	12950.595362660	1369.863	12657.534	0.3071	11287.671	-72.28	[P]
24	Spectrogram 1	1	12953.946797649	12954.301536914	2739.726	10684.932	0.3547	7945.206	-74.94	[P]
25	Spectrogram 1	1	12956.639077174	12957.094414142	2410.959	11342.466	0.4553	8931.507	-72.67	[P]
26	Spectrogram 1	1	12957.303551470	12971.127793592	2356.164	12547.945	13.8242	10191.781	-73.87	[P]
27	Spectrogram 1	1	13006.914397700	13008.399537461	1424.658	4000.000	1.4851	2575.342	-74.03	[P?]
28	Spectrogram 1	1	13015.317364547	13016.373640420	1041.096	3506.849	1.0563	2465.753	-71.27	[P?]
29	Spectrogram 1	1	13018.699905684	13019.838248103	1424.658	3945.205	1.1383	2520.547	-73.94	[P?]
30	Spectrogram 1	1	13023.434422135	13027.002993254	2136.986	3506.849	3.5686	1369.863	-76.20	[P?]
31	Spectrogram 1	1	13032.022700539	13033.468130680	1589.041	4054.795	1.4454	2465.754	-73.88	[P?]
32	Spectrogram 1	1	13039.787693044	13042.188801356	1698.630	4273.973	2.4011	2575.343	-75.12	[P?]
33	Spectrogram 1	1	16362.859137371	16363.163577786	0.000	13479.452	0.3044	13479.452	-59.23	[P]
34	Spectrogram 1	1	16372.601137550	16372.884399501	1260.274	13917.808	0.2833	12657.534	-68.13	[P]
35	Spectrogram 1	1	16374.920144813	16375.229879844	1808.219	12493.151	0.3097	10684.932	-70.47	[P]
36	Spectrogram 1	1	16378.487019027	16378.947650610	2027.397	12767.123	0.4606	10739.726	-66.00	[P]
37	Spectrogram 1	1	16381.877788258	16382.304004838	2410.959	13095.890	0.4262	10684.931	-64.99	[P]
38	Spectrogram 1	1	16386.161088369	16386.563479178	2136.986	21698.630	0.4024	19561.644	-67.52	[P]
