Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.077736220	22.993841722	1905.239	5748.814	22.9161	3843.575	-44.75	AudioMoth Foxtrot1; July 30, 2024; 18:51:36 MST; 441927 4478204; Side of Mount [Salon?] towards South [?]
2	Spectrogram 1	1	206.988595459	207.525531348	0.000	13649.596	0.5369	13649.596	-46.14	[P]
3	Spectrogram 1	1	721.154212006	721.576973558	0.000	8474.394	0.4228	8474.394	-62.47	[P]
4	Spectrogram 1	1	880.853054256	881.154703489	0.000	24000.000	0.3016	24000.000	-53.14	[P]
5	Spectrogram 1	1	1306.969821802	1307.242022348	0.000	24000.000	0.2722	24000.000	-54.25	[P]
6	Spectrogram 1	1	1309.268007040	1309.812444557	28.144	24000.000	0.5444	23971.856	-65.77	[P]
7	Spectrogram 1	1	1941.372532632	1941.853623645	0.000	12318.647	0.4811	12318.647	-42.19	[P]
8	Spectrogram 1	1	1942.767057317	1943.320055172	0.000	11916.412	0.5530	11916.412	-28.79	[P]
9	Spectrogram 1	1	1944.780603326	1945.175207603	0.000	10888.479	0.3946	10888.479	-27.38	[P]
10	Spectrogram 1	1	1947.056695121	1947.549100392	0.000	11871.719	0.4924	11871.719	-56.79	[P]
11	Spectrogram 1	1	1950.327159476	1950.739767783	0.000	12408.032	0.4126	12408.032	-54.72	[P]
12	Spectrogram 1	1	1956.247005058	1956.607445099	0.000	10479.784	0.3604	10479.784	-39.14	[P]
13	Spectrogram 1	1	1963.835193143	1964.355661713	0.000	12005.797	0.5205	12005.797	-39.68	[P]
14	Spectrogram 1	1	1966.041609698	1966.431035727	0.000	10128.702	0.3894	10128.702	-38.43	[P]
15	Spectrogram 1	1	2300.683512879	2300.936898893	0.000	24000.000	0.2534	24000.000	-57.21	[P]
16	Spectrogram 1	1	3272.425957108	3272.912184325	0.000	12614.555	0.4862	12614.555	-56.33	[P]
17	Spectrogram 1	1	3284.116882108	3284.419918085	28.144	13843.666	0.3030	13815.522	-58.95	[P]
18	Spectrogram 1	1	3322.915206485	3323.315830319	0.000	15978.437	0.4006	15978.437	-52.20	[P]
19	Spectrogram 1	1	3402.950884734	3403.484012260	0.000	22900.270	0.5331	22900.270	-49.60	[P]
20	Spectrogram 1	1	3480.797529226	3498.320229167	2665.015	5435.965	17.5227	2770.950	-41.18	Retrieving [?]; July 30
