Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	2.385712436	25.532633305	2302.834	3760.324	23.1469	1457.490	-41.20	Audiomoth Foxtrot1; [?]; 14:48 MDT; Near [Long Lake?], on the west side,on the east side of [?] Mountain
2	Spectrogram 1	1	30.881403187	49.477553883	4003.239	4974.899	18.5962	971.660	-52.98	Coordinates 447347, 4479335; under a bush and a rock shaped like a coffin
3	Spectrogram 1	1	1121.882054000	1122.264876054	0.000	19482.993	0.3828	19482.993	-66.99	[P]
4	Spectrogram 1	1	3149.053519798	3149.392798567	0.000	5703.644	0.3393	5703.644	-56.70	[P]
5	Spectrogram 1	1	3155.014851568	3155.405202996	68.016	11193.522	0.3904	11125.506	-68.13	[P]
6	Spectrogram 1	1	3164.195235447	3164.568466198	0.000	11825.101	0.3732	11825.101	-68.99	[P]
7	Spectrogram 1	1	3183.165088182	3183.535766454	0.000	11776.518	0.3707	11776.518	-57.35	[P]
8	Spectrogram 1	1	3203.377713445	3203.769776940	68.016	11482.993	0.3921	11414.977	-58.60	[P]
9	Spectrogram 1	1	3263.134523885	3263.502360306	0.000	12027.211	0.3678	12027.211	-67.86	[P]
10	Spectrogram 1	1	3307.190363179	3307.574120921	19.433	12190.476	0.3838	12171.043	-67.01	[P]
11	Spectrogram 1	1	3311.882153854	3312.206446990	68.016	10513.361	0.3243	10445.345	-66.11	[P]
12	Spectrogram 1	1	3324.125448146	3324.449547187	0.000	10076.114	0.3241	10076.114	-57.10	[P]
13	Spectrogram 1	1	3318.833389293	3319.188464861	0.000	10027.531	0.3551	10027.531	-50.91	[P]
14	Spectrogram 1	1	3336.555922336	3336.947852227	0.000	10561.944	0.3919	10561.944	-65.69	[P]
15	Spectrogram 1	1	3697.620760333	3698.022768535	0.000	5897.976	0.4020	5897.976	-66.11	[P]
16	Spectrogram 1	1	6922.010946610	6922.387601496	0.000	24000.000	0.3767	24000.000	-61.20	[P]
17	Spectrogram 1	1	6924.464648950	6924.895753220	0.000	12244.898	0.4311	12244.898	-69.65	[P]
18	Spectrogram 1	1	6928.373544539	6928.836147130	97.166	12145.749	0.4626	12048.583	-69.15	[P]
19	Spectrogram 1	1	6931.235988933	6931.671427322	48.583	12242.915	0.4354	12194.332	-69.57	[P]
21	Spectrogram 1	1	6950.315239617	6950.739827857	194.332	12485.830	0.4246	12291.498	-69.75	[P]
22	Spectrogram 1	1	6952.039233959	6952.453774133	0.000	24000.000	0.4145	24000.000	-60.60	[P]
23	Spectrogram 1	1	12530.532910468	12530.909565354	145.749	24000.000	0.3767	23854.251	-67.10	[P]
24	Spectrogram 1	1	15300.696677986	15301.032179216	0.000	13894.737	0.3355	13894.737	-53.77	[P]
25	Spectrogram 1	1	15303.816561273	15304.082907776	97.166	24000.000	0.2663	23902.834	-50.08	[P]
26	Spectrogram 1	1	16243.206444156	16243.440878444	97.166	12388.664	0.2344	12291.498	-64.32	[P]
27	Spectrogram 1	1	16253.599205121	16254.050599618	97.166	24000.000	0.4514	23902.834	-60.93	[P]
28	Spectrogram 1	1	16257.915356192	16258.318882367	0.000	24000.000	0.4035	24000.000	-61.69	[P]
29	Spectrogram 1	1	16261.406887449	16261.800663012	0.000	24000.000	0.3938	24000.000	-62.55	[P]
30	Spectrogram 1	1	16264.681438806	16265.080350572	0.000	24000.000	0.3989	24000.000	-62.82	[P]
31	Spectrogram 1	1	16267.931092720	16268.353973433	0.000	24000.000	0.4229	24000.000	-63.00	[P]
32	Spectrogram 1	1	16277.361349043	16277.761972877	48.583	24000.000	0.4006	23951.417	-62.02	[P]
35	Spectrogram 1	1	16631.499093120	16631.880884209	0.000	22979.757	0.3818	22979.757	-68.82	[P]
36	Spectrogram 1	1	16987.967577256	16988.425466620	97.166	12825.911	0.4579	12728.745	-66.89	[P]
37	Spectrogram 1	1	16995.790418682	16996.294385645	0.000	6170.040	0.5040	6170.040	-66.15	[P]
38	Spectrogram 1	1	17004.069868370	17004.449947391	0.000	11805.668	0.3801	11805.668	-67.32	[P]
39	Spectrogram 1	1	17013.892233953	17014.262619311	0.000	9279.352	0.3704	9279.352	-68.21	[P]
40	Spectrogram 1	1	19850.874987900	19851.227157585	0.000	6024.291	0.3522	6024.291	-66.58	[P]
41	Spectrogram 1	1	19853.905063557	19854.208423691	0.000	6850.202	0.3034	6850.202	-67.14	[P]
42	Spectrogram 1	1	19855.722549292	19856.199978207	0.000	12680.162	0.4774	12680.162	-68.87	[P]
44	Spectrogram 1	1	6932.335111956	6948.666407241	0.000	16979.592	16.3313	16979.592	-63.03	[P, long call]
45	Spectrogram 1	1	6934.849217934	6935.294355527	0.000	21605.442	0.4451	21605.442	-62.28	[P]
46	Spectrogram 1	1	6938.064412302	6938.490717150	0.000	12027.211	0.4263	12027.211	-63.95	[P]
47	Spectrogram 1	1	6940.702548409	6941.125429122	0.000	12299.320	0.4229	12299.320	-68.18	[P]
48	Spectrogram 1	1	6943.463852604	6943.891869520	0.000	12136.054	0.4280	12136.054	-60.81	[P]
