Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	7.176935944	45.939186899	5481.604	6995.118	38.7623	1513.514	-48.90	July 16, 2024; 13:49 MDT; AudioMoth LH; 437322 4476849; Just north of Fall River Road; Saw 2-3 juvenile pikas running out
2	Spectrogram 1	1	52.464006342	54.499832378	4184.307	5784.307	2.0358	1600.000	-50.09	Maybe about to storm
3	Spectrogram 1	1	139.925273345	140.198872258	0.000	13101.176	0.2736	13101.176	-65.85	[P]
4	Spectrogram 1	1	151.581697721	151.838348028	0.000	9656.471	0.2567	9656.471	-59.47	[P]
5	Spectrogram 1	1	4592.135311863	4592.437965527	0.000	13835.294	0.3027	13835.294	-67.36	[P]
6	Spectrogram 1	1	4597.206768875	4597.487125355	0.000	11319.442	0.2804	11319.442	-66.87	[P]
7	Spectrogram 1	1	4600.232268542	4600.491340078	0.000	12011.334	0.2591	12011.334	-68.61	[P]
8	Spectrogram 1	1	4603.686607727	4603.952942951	0.000	12789.712	0.2663	12789.712	-67.90	[P]
9	Spectrogram 1	1	8204.481446751	8204.604929446	0.000	10584.307	0.1235	10584.307	-58.80	[P]
10	Spectrogram 1	1	8208.443577005	8208.567457618	0.000	11103.226	0.1239	11103.226	-70.94	[P]
12	Spectrogram 1	1	8212.582252326	8212.766265754	0.000	9938.824	0.1840	9938.824	-72.90	[P]
13	Spectrogram 1	1	8215.865005554	8216.078073734	0.000	11362.685	0.2131	11362.685	-72.07	[P]
14	Spectrogram 1	1	8218.878499995	8219.064934652	0.000	11407.059	0.1864	11407.059	-72.59	[P]
16	Spectrogram 1	1	8231.129426789	8231.315861446	0.000	5938.314	0.1864	5938.314	-69.70	[P]
17	Spectrogram 1	1	8236.423111451	8236.576360755	0.000	6920.770	0.1532	6920.770	-69.07	[P]
18	Spectrogram 1	1	8246.803668037	8246.922308274	0.000	12197.647	0.1186	12197.647	-66.27	[P]
19	Spectrogram 1	1	8250.632251326	8250.801613745	0.000	12254.118	0.1694	12254.118	-66.85	[P]
20	Spectrogram 1	1	8266.915134053	8267.131126446	0.000	12028.235	0.2160	12028.235	-49.71	[P]
